kayit_id,boy,source_file,aktor,aktor_id,aktor_tipi,hedef,hedef_id,hedef_tipi,event_turu,not,ham_satir,kaynak_notu
DKR0617,uşun koca oğlu seyrek boyu,11_usun_koca_oglu_seyrek_boyu.csv,Segrek,segrek,kişi,,,,tanımlama,"egreke segrek yaraşır, kardeşsiz oğuzda duramam diye ağladı","segrek (egreke segrek yaraşır, kardeşsiz oğuzda duramam diye ağladı)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0627,uşun koca oğlu seyrek boyu,11_usun_koca_oglu_seyrek_boyu.csv,Uşun Koca ve Karısı,usun_koca_ve_karisi,grup,,,,tören/ritüel,segreke düğün yaptılar,uşun koca ve karısı (segreke düğün yaptılar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0631,uşun koca oğlu seyrek boyu,11_usun_koca_oglu_seyrek_boyu.csv,Segrek,segrek,kişi,,,,tanımlama,at alıp hazırlandı,segrek (at alıp hazırlandı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0635,uşun koca oğlu seyrek boyu,11_usun_koca_oglu_seyrek_boyu.csv,Segrekin Karısı,segrekin_karisi,kişi,,,,tanımlama,gideyim kayın atama kayın anneme durumu söyleyeyim,segrekin karısı (gideyim kayın atama kayın anneme durumu söyleyeyim),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0641,uşun koca oğlu seyrek boyu,11_usun_koca_oglu_seyrek_boyu.csv,Tekfur (Segrek Boyu),tekfur_segrek_boyu,kişi,,,,otorite/emir,"emir, 60 adam seçin yakalasın gelsinler","tekfur (emir, 60 adam seçin yakalasın gelsinler)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0670,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Salur Kazan,salur_kazan,kişi,Salur Kazan,salur_kazan,kişi,duygusal_tepki,Şahin Tomanın kalesine gidince Kazan üzülür.,şahin tomanın kalesine gitti - kazan üzüldü,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0697,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Tekfurun Çevresi,tekfurun_cevresi,grup,,,,otorite/emir,emir; bir er getirin,tekfur ve çevresi (emir; bir er getirin),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; v3 bağlamsal standardizasyon
DKR0717,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Kara Göne ve Askerler,kara_gone_ve_askerler,grup,,,,destek/yardım,bezirgan kıyafetleri giydiler,kara göne ve askerler (bezirgan kıyafetleri giydiler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0718,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Kafirler (Uruz Kurtarma Boyu),kafirler_uruz_kurtarma_boyu,grup,,,,tanımlama,gelenlerin tacir olmadığını anlayıp kaleye kaçtılar,kafirler (gelenlerin tacir olmadığını anlayıp kaleye kaçtılar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0722,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,16 Asker ve Uruz,16_asker_ve_uruz,grup,,,,tanımlama,kale kapısını kırdılar,16 asker ve uruz (kale kapısını kırdılar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
