kayit_id,boy,source_file,aktor,aktor_id,aktor_tipi,hedef,hedef_id,hedef_tipi,event_turu,not,ham_satir,kaynak_notu
DKR0226,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Pay Püre,pay_pure,kişi,,,,tanımlama,bezi gözüne sürünce gözü açıldı,pay püre (bezi gözüne sürünce gözü açıldı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0227,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Beyrek'in Ailesi,beyrekin_ailesi,kişi,,,,hareket/eylem,beyrek'e kavuşma şükür,beyrek'in ailesi (beyrek'e kavuşma şükür),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0228,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Yalançı Oğlu Yaltaçuk,yalanci_oglu_yaltacuk,kişi,,,,tören/ritüel,beyrek'in döndüğünü duyunca kaçıp saklandı,yaltaçuk (beyrek'in döndüğünü duyunca kaçıp saklandı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; v3 bağlamsal standardizasyon; v3 bağlamsal standardizasyon
DKR0240,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,"Beyrek, Yigenek, Kazan, Kara Budak, Deli Dündar, Uruz",beyrek_yigenek_kazan_kara_budak_deli_dundar_uruz,kişi,,,,çatışma,hisara hucüm,"beyrek, yigenek, kazan, kara budak, deli dündar, uruz (hisara hucüm)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0251,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,Dokuz Kafir Kızı,dokuz_kafir_kizi,kişi,,,,tören/ritüel,toyda sakilik yapıyorlar,dokuz kafir kızı (toyda sakilik yapıyorlar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0253,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,Salur Kazan,salur_kazan,kişi,"Uruz, Kara Göne ve At Ağızlı Aruz",uruz_kara_gone_ve_at_agizli_aruz,grup,tanımlama,Kazan çevresindeki yakınlarını tanımlar/konumlandırır.,"kazan'ın çevresi; karşısında oğlu uruz, sağında kardeşi kara göne, sol tarafında dayısı at ağızlı aruz",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0264,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,"Kazan, Uruz ve Askerler",kazan_uruz_ve_askerler,grup,,,,hareket/eylem,av,"kazan, uruz ve askerler (av)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0299,Duha Koca Oğlu Deli Dumrul,06_duha_koca_oglu_deli_dumrul.csv,Köprünün Yanına Konan Oba,koprunun_yanina_konan_oba,grup,,,,duygusal_tepki,ölen yiğit için ağlıyor yas tutuyorlar,köprünün yanına konan oba (ölen yiğit için ağlıyor yas tutuyorlar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0301,Duha Koca Oğlu Deli Dumrul,06_duha_koca_oglu_deli_dumrul.csv,Deli Dumrul,deli_dumrul,kişi,Dua,dua,nesne/doğa,dua,Azrail ile savaşmak için dua/yalvarış niteliğinde söz söyler.,"deli dumrul - dua (azraili göreyim, yiğit canı için dövüşeyim)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0329,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Kanlı Koca,kanli_koca,kişi,,,,tanımlama,"iç oğuzu dolaştı, dış oğuzu dolaştı kız bulamadı","kanlı koca (iç oğuzu dolaştı, dış oğuzu dolaştı kız bulamadı)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0330,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Kanlı Koca,kanli_koca,kişi,,,,tanımlama,trabzona geldi,kanlı koca (trabzona geldi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0333,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Trabzon Tekfuru,trabzon_tekfuru,kişi,,,,akrabalık,vaad; 3 canavarı kim öldürürse kızımı ona vereceğim; başaramayanın başını keserim; 32 kafir beyinin kellesini almış bu şekilde kale burcuna asmış,trabzon tekfuru (vaad; 3 canavarı kim öldürürse kızımı ona vereceğim; başaramayanın başını keserim; 32 kafir beyinin kellesini almış bu şekilde kale burcuna asmış),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0335,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Kanlı Koca,kanli_koca,kişi,,,,tanımlama,oğuza geldi,kanlı koca (oğuza geldi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0336,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Kan Turalı ve 40 Adamı,kan_turali_ve_40_adami,grup,,,,destek/yardım,kanlı kocayı karşıladılar,kan turalı ve 40 adamı (kanlı kocayı karşıladılar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0374,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Selcen Hatun,selcen_hatun,kişi,,,,tanımlama,kan turalıyı aradı,selcen hatun (kan turalıyı aradı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0388,Kazılık koca oğlu yigenek boyu,08_kazilik_koca_oglu_yigenek_boyu.csv,Kazılık Koca,kazilik_koca,kişi,,,,tanımlama,bayındır han'ın veziri,kazılık koca (bayındır han'ın veziri),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0396,Kazılık koca oğlu yigenek boyu,08_kazilik_koca_oglu_yigenek_boyu.csv,Emen,emen,kişi,,,,tanımlama,kaleyi 6 kere kuşatıp alamadı,emen (kaleyi 6 kere kuşatıp alamadı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
