orijinal_ad,standart_ad,taraf
Beyrekin Adamları,Beyrek'in Adamları,v2_standardizasyon
Beyrekin Anne Babası,Beyrek'in Anne Babası,v2_standardizasyon
begilin adamları,Begil'in Adamları,v3_normalizasyon
anne babası,Anne ve Babası,v3_normalizasyon
kocaları,Kocalar,v3_normalizasyon
iç oğuz,İç Oğuz,v3_normalizasyon
iç oğuz beyleri,İç Oğuz Beyleri,v3_normalizasyon
yalancı oğlu yaltaçuk,Yalançı Oğlu Yaltaçuk,v3_normalizasyon
yaltaçuk,Yalançı Oğlu Yaltaçuk,v3_normalizasyon
selcen,Selcen Hatun,v3_normalizasyon
burla,Burla Hatun,v3_normalizasyon
uzun boylu burla hatun,Burla Hatun,v3_normalizasyon
begil bey,Begil,v3_normalizasyon
kan turalı ve selcan hatun,Kan Turalı ve Selcen Hatun,v3_normalizasyon
yoldadşları,Yoldaşları,v3_normalizasyon
beyrek'in 40 yoldaşı,Beyrek'in 40 Yoldaşları,v3_normalizasyon
"tekfur, 100 kafir çevresinde",Tekfur ve 100 Kafir,v3_normalizasyon
tekfur ve çevresi,Tekfurun Çevresi,v3_normalizasyon
