kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0834,19.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Tanrı,tanri,mitolojik/ilahi,yakarış,ikna/müzakere,iletişim,3,pozitif,yönlü,açık_ilişki,kurtuluş yolu istedi,Salur Kazan - Allah Tanrı (dua/yakarış),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0835,20.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Tanrı,tanri,mitolojik/ilahi,Salur Kazan,salur_kazan,kişi,kaya peyda etti,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,korunaklı kaya belirdi,Allah Tanrı - Salur Kazan (yardım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0836,21.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Yedi Başlı Ejderha,yedi_basli_ejderha,mitolojik/ilahi,ok yağdırdı,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,seksen ok attı,Salur Kazan - Yedi Başlı Ejderha (ok yağdırdı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0837,22.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Yedi Başlı Ejderha,yedi_basli_ejderha,mitolojik/ilahi,yedi başını kılıçla kesti,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,öldürdü,Salur Kazan - Yedi Başlı Ejderha (öldürdü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0838,23.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Lala Kılbaş,lala_kilbas,kişi,Salur Kazan,salur_kazan,kişi,erliğine yiğitliğine aferin dedi,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,övgü,Lala Kılbaş - Salur Kazan (övgü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0839,24.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Lala Kılbaş,lala_kilbas,kişi,senin verdiğin cesaret ve güç öldürdü dedi,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,başarıyı Lala'ya pay etti,Salur Kazan - Lala Kılbaş (minnet/övgü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0840,25.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Ustalar,ustalar,grup,ejderhanın derisini yüzdür dedi,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,ustaları çağırttı,Salur Kazan - Ustalar (deriyi yüzdür),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0841,26.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Lala Kılbaş,lala_kilbas,kişi,Ustalar,ustalar,grup,getirtip deriyi yüzdürdü,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,uygulama,Lala Kılbaş - Ustalar (getirtip yüzdürdü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0842,27.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Kara Budak,kara_budak,kişi,Salur Kazan,salur_kazan,kişi,amcası,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,amcasına seslendi,Kara Budak - Salur Kazan (amca),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0843,28.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Bayındır Han,bayindir_han,kişi,Salur Kazan,salur_kazan,kişi,"benim vekilim, iyi yiğittir",diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,savunma ve güven beyanı,Bayındır Padişah - Salur Kazan (övgü/güven),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0844,29.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Kara Budak,kara_budak,kişi,Salur Kazan,salur_kazan,kişi,söyleşmezsen öldürürüm dedi,gerilim,çatışma,4,negatif,yönsüz,açık_ilişki,kimlik sınaması,Kara Budak - Salur Kazan (meydan okuma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0845,30.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Kara Budak,kara_budak,kişi,kılıcını beline bağladı,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,güven ve paye,Salur Kazan - Kara Budak (kılıç verdi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0846,31.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Kara Budak,kara_budak,kişi,Bayındır Han,bayindir_han,kişi,haber verdi,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,Kazan ejderha öldürmüştür,Kara Budak - Bayındır Padişah (haber verdi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0847,32.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Iç Oğuz,ic_oguz,grup,Salur Kazan,salur_kazan,kişi,karşıladı,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,topluca karşılama,İç Oğuz - Salur Kazan (karşıladı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0848,33.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Dış Oğuz,dis_oguz,grup,Salur Kazan,salur_kazan,kişi,karşıladı,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,topluca karşılama,Dış Oğuz - Salur Kazan (karşıladı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0849,34.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Bayındır Han,bayindir_han,kişi,ayağına kapandı,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,bağlılık gösterisi,Salur Kazan - Bayındır Padişah (ayağına kapandı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0850,35.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Bayındır Han,bayindir_han,kişi,ejderha derisinden gölgelik dikti ve konuk etti,ödül/değişim,otorite,3,pozitif,yönlü,açık_ilişki,yedi gün yedi gece konuk etti,Salur Kazan - Bayındır Padişah (gölgelik/konukluk),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0851,36.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Dede Korkut,dede_korkut,kişi,Salur Kazan,salur_kazan,kişi,koçak yiğit diye övdü,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,son söz/övgü,Dede Korkut - Salur Kazan (övgü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
