kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0781,806.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Dış Oğuz Beyleri,dis_oguz_beyleri,grup,Aruz,aruz,kişi,"beyrek bizden kız almıştır, güveyimizdir, gelsin bizi kazanla barıştırsın, eğer ikna olmazsa beyreği öldürelim; kazana bakarız",ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,"beyrek bizden kız almıştır, güveyimizdir, gelsin bizi kazanla barıştırsın, eğer ikna olmazsa beyreği öldürelim; kazana bakarız","dış oğuz beyleri - aruz (beyrek bizden kız almıştır, güveyimizdir, gelsin bizi kazanla barıştırsın, eğer ikna olmazsa beyreği öldürelim; kazana bakarız)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0782,807.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,"beyreke adam gönderdi, kağıt geldi",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"beyreke adam gönderdi, kağıt geldi","aruz - beyrek (beyreke adam gönderdi, kağıt geldi)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0783,808.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruzun Habercisi,aruzun_habercisi,kişi,Beyerek,beyerek,kişi,beyrek gelsin bizi kazanla barıştırsın diyor aruz,belirsiz,olay,1,nötr,yönlü,açık_ilişki,beyrek gelsin bizi kazanla barıştırsın diyor aruz,aruzun habercisi - beyerek (beyrek gelsin bizi kazanla barıştırsın diyor aruz),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0784,809.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Beyrek'in 40 Yiğidi,beyrekin_40_yigidi,grup,aruzun evine geldi,belirsiz,olay,1,nötr,yönlü,açık_ilişki,aruzun evine geldi,beyrek - beyrekin 40 yiğidi (aruzun evine geldi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0785,810.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Dış Oğuz Beyleri,dis_oguz_beyleri,grup,dış oğuz beylerine selam verdi,belirsiz,olay,1,nötr,yönlü,açık_ilişki,dış oğuz beylerine selam verdi,beyrek - dış oğuz beyleri (dış oğuz beylerine selam verdi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0786,811.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,biz seni neden çağırdık biliyor musun,belirsiz,olay,1,nötr,yönlü,açık_ilişki,biz seni neden çağırdık biliyor musun,aruz - beyrek (biz seni neden çağırdık biliyor musun),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0787,812.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Aruz,aruz,kişi,kırgınlığınızın sebebi nedir,belirsiz,olay,1,nötr,yönlü,açık_ilişki,kırgınlığınızın sebebi nedir,beyrek - aruz (kırgınlığınızın sebebi nedir),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0788,813.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz ve Dış Oğuz Beyleri,aruz_ve_dis_oguz_beyleri,grup,Bamsı Beyrek,bamsi_beyrek,kişi,mushaf getirip kazana asi ol,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,mushaf getirip kazana asi ol,aruz ve dış oğuz beyleri - beyrek (mushaf getirip kazana asi ol),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0789,814.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Aruz ve Dış Oğuz Beyleri,aruz_ve_dis_oguz_beyleri,grup,ben kazana asi olmam,belirsiz,olay,1,nötr,yönlü,açık_ilişki,ben kazana asi olmam,beyrek - aruz ve dış oğuz beyleri (ben kazana asi olmam),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0790,815.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,beyrekin sakalından yakadı; kılıcıyla sağ uyluğuna vurdu,belirsiz,olay,1,nötr,yönlü,açık_ilişki,beyrekin sakalından yakadı; kılıcıyla sağ uyluğuna vurdu,aruz - beyrek (beyrekin sakalından yakadı; kılıcıyla sağ uyluğuna vurdu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
