kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0171,178.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Kafir Beyi'nin Kızı,kafir_beyinin_kizi,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,diy0; neden üzgünsün,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0; neden üzgünsün,kafir beyi'nin kızı - beyrek (diy0; neden üzgünsün),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0172,179.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Kafir Beyinin Kızı,kafir_beyinin_kizi,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,aşk,evlilik/bağlaşıklık,akrabalık,5,pozitif,yönsüz,açık_ilişki,aşk,kafir beyinin kızı - beyrek (aşk),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0173,180.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Kafir Beyinin Kızı,kafir_beyinin_kizi,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,kaleden kaçmana yardım edeyim,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,kaleden kaçmana yardım edeyim,kafir beyinin kızı - beyrek (kaleden kaçmana yardım edeyim),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0174,181.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Beyrek'in 40 Adamı,beyrekin_40_adami,grup,vedalaşma,hareket/eylem,olay,2,nötr,yönlü,açık_ilişki,vedalaşma,beyrek - beyrek'in 40 adamı (vedalaşma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0175,182.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Kafirin 40 Atlısı,kafirin_40_atlisi,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,kovalamaca,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,kovalamaca,kafirin 40 atlısı - beyrek (kovalamaca),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0176,183.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Ozan,ozan,kişi,ikna: kopuzunu bana ver,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna: kopuzunu bana ver,beyrek - ozan (ikna: kopuzunu bana ver),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0177,184.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Çobanlar,cobanlar,kişi,diy0; yaşananları haberleşiyorlar,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0; yaşananları haberleşiyorlar,beyrek - çobanlar (diy0; yaşananları haberleşiyorlar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0178,185.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Beyrek'in Küçük Kız Kardeşi,beyrekin_kucuk_kiz_kardesi,kişi,diy0; haberleşme,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0; haberleşme,beyrek - beyrek'in küçük kız kardeşi (diy0; haberleşme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0179,186.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Beyrek'in Büyük Kız Kardeşi,beyrekin_buyuk_kiz_kardesi,kişi,diy0; yemek ve kaftan isteme,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0; yemek ve kaftan isteme,beyrek - beyrek'in büyük kız kardeşi (diy0; yemek ve kaftan isteme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0181,188.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Beyrek'in Büyük Kız Kardeşi,beyrekin_buyuk_kiz_kardesi,kişi,kaftanı yere atıp üstüne çuval giyme,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,kaftanı yere atıp üstüne çuval giyme,beyrek - beyrek'in büyük kız kardeşi (kaftanı yere atıp üstüne çuval giyme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0183,190.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,"Kara Budak, Kazan Oğlu Uruz, Beyler Başı Yigenek, Gaflet Koca Oğlu Şir Şemseddin, Deli Karçar, Düğünde Ok Atarlar",kara_budak_kazan_oglu_uruz_beyler_basi_yigenek_gaflet_koca_oglu_sir_semseddin_deli_karcar_dugunde_ok_atarlar,grup,"Beyrek'in Kayın Babası, Kara Göne",beyrekin_kayin_babasi_kara_gone,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,"beyrek'in kayın babası, kara göne oğlu kara budak, kazan oğlu uruz, beyler başı yigenek, gaflet koca oğlu şir şemseddin, deli karçar, düğünde ok atarlar",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0184,191.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bamsı Beyrek,bamsi_beyrek,kişi,Kara Budak,kara_budak,kişi,ok atınca elin var olsun - diy0,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,ok atınca elin var olsun - diy0,beyrek - kara budak (ok atınca elin var olsun - diy0),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
