kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0582,601.0,Begil Oğlu Emrenin boyu,boy,Tekfur (Begil Boyu),tekfur_begil_boyu,kişi,Emen,emen,kişi,tanrı'na mı yalvarırsın? senin 1 tanrın varsa benim 72 puthanem var,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,tanrı'na mı yalvarırsın? senin 1 tanrın varsa benim 72 puthanem var,tekfur - emen (tanrı'na mı yalvarırsın? senin 1 tanrın varsa benim 72 puthanem var),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0583,602.0,Begil Oğlu Emrenin boyu,boy,Emren,emren,kişi,Tekfur (Begil Boyu),tekfur_begil_boyu,kişi,ben Allahıma sığındım,belirsiz,olay,1,nötr,yönlü,açık_ilişki,ben Allahıma sığındım,emren - tekfur (ben Allahıma sığındım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0584,603.0,Begil Oğlu Emrenin boyu,boy,Tanrı,tanri,mitolojik/ilahi,Cebrail,cebrail,kişi,emir; emrene 40 er kuvveti verdim,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir; emrene 40 er kuvveti verdim,tanrı - cebrail (emir; emrene 40 er kuvveti verdim),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0585,604.0,Begil Oğlu Emrenin boyu,boy,Emren,emren,kişi,Tekfur (Begil Boyu),tekfur_begil_boyu,kişi,tekfuru yere vurdu,belirsiz,olay,1,nötr,yönlü,açık_ilişki,tekfuru yere vurdu,emren - tekfur (tekfuru yere vurdu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0586,605.0,Begil Oğlu Emrenin boyu,boy,Tekfur (Begil Boyu),tekfur_begil_boyu,kişi,Emren,emren,kişi,"eman diledi, müslüman oldu",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"eman diledi, müslüman oldu","tekfur - emren (eman diledi, müslüman oldu)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0589,608.0,Begil Oğlu Emrenin boyu,boy,Emren,emren,kişi,Haberci,haberci,kişi,emir; babama haber verin kazandım,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir; babama haber verin kazandım,emren - haberci (emir; babama haber verin kazandım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0590,609.0,Begil Oğlu Emrenin boyu,boy,Begil,begil,kişi,Emren,emren,kişi,"emreni karşıladı, sarıldı",destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,"emreni karşıladı, sarıldı","begil - emren (emreni karşıladı, sarıldı)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0591,610.0,Begil Oğlu Emrenin boyu,boy,Begil,begil,kişi,Emren,emren,kişi,"emrene yaylak verdi; atından tavla verdi, şölen verdi, gelin aldı",evlilik/bağlaşıklık,akrabalık,5,pozitif,yönsüz,açık_ilişki,"emrene yaylak verdi; atından tavla verdi, şölen verdi, gelin aldı","begil - emren (emrene yaylak verdi; atından tavla verdi, şölen verdi, gelin aldı)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0592,611.0,Begil Oğlu Emrenin boyu,boy,Begil,begil,kişi,Bayındır Han,bayindir_han,kişi,bayındır hana pençik çıkardı,belirsiz,olay,1,nötr,yönlü,açık_ilişki,bayındır hana pençik çıkardı,begil - bayındır han (bayındır hana pençik çıkardı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0594,613.0,Begil Oğlu Emrenin boyu,boy,"Uruz'un Sağ Yanında Yer Gösterdi, Cübbe Giydirdi",uruzun_sag_yaninda_yer_gosterdi_cubbe_giydirdi,kişi,Bayındır Han Kazan,bayindir_han_kazan,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,"bayındır han kazan oğlu uruz'un sağ yanında yer gösterdi, cübbe giydirdi",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
